Stars,Position,Name,Class,Ht,Wt,Previous School,New School,Season,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,MPG,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2.0,PF,Daniel Akin,RSSR,6-9,225,UMBC,California Baptist,2020-21,Maryland-Baltimore County,AEC,16,359,18.5,0.569,0.579,9.9,21.9,16.1,6.4,1.0,3.9,14.7,18.7,129,111.8,92.6,0.7,0.8,1.5,-0.5,0.9,0.3,22.4,2.8,4.8,2.8,4.8,0.0,0.0,2.4,4.6,1.9,4.5,6.4,0.7,0.4,0.8,1.2,2.6,7.9
4.0,PG,James Akinjo,SR,6-1,190,Arizona,Baylor,2021-22,Baylor,Big 12,32,1058,17.2,0.491,0.43700000000000006,1.4,8.7,5.0,31.1,3.6,0.1,17.7,24.9,478,105.4,94.9,2.0,2.1,4.1,3.0,3.1,6.1,33.1,4.6,12.1,3.3,7.7,1.3,4.3,3.0,3.6,0.4,2.4,2.8,5.8,2.0,0.0,3.0,1.6,13.5
4.0,PG,James Akinjo,SR,6-1,190,Arizona,Baylor,2020-21,Arizona,Pac-12,26,908,18.3,0.523,0.46,1.0,6.5,3.8,31.1,2.4,0.0,13.4,24.7,419,112.6,103.7,2.5,1.0,3.5,4.6,1.3,5.9,34.9,4.8,12.6,2.7,7.6,2.0,5.0,4.0,4.9,0.3,2.0,2.3,5.4,1.4,0.0,2.3,2.0,15.6
2.0,PG,Ayo Akinwole,SR,-11,180,Omaha,Drake,2020-21,Omaha,Summit,25,769,19.6,0.631,0.589,1.7,11.6,6.5,19.8,1.6,0.1,14.0,19.3,320,120.3,111.6,2.3,0.3,2.5,2.7,-0.9,1.7,30.8,4.5,9.0,2.8,5.4,1.6,3.6,2.4,2.8,0.5,3.1,3.6,2.9,0.9,0.0,1.7,2.0,13.0
2.0,PG,Ayo Akinwole,SR,-11,180,Omaha,Drake,2021-22,Drake,MVC,36,498,10.0,0.47100000000000003,0.439,1.7,6.9,4.3,17.8,2.3,0.0,15.8,15.3,131,101.9,102.9,0.4,0.6,1.1,-2.4,0.2,-2.2,13.8,1.1,3.2,0.5,1.4,0.6,1.8,0.4,0.4,0.2,0.8,1.0,1.4,0.5,0.0,0.6,1.1,3.2
2.0,C,Jonathan Aku,RS SO,-10,263,Texas A&M,Stephen F. Austin,2020-21,Texas A&M,SEC,18,259,4.9,0.428,0.36,8.7,18.3,13.4,4.4,0.7,3.9,30.0,10.7,40,81.3,102.3,-0.1,0.3,0.2,-6.2,1.2,-5.0,14.4,0.5,1.4,0.5,1.4,0.0,0.0,0.8,1.4,1.1,2.1,3.2,0.3,0.2,0.4,0.9,2.4,1.8
2.0,SF,Angelo Allegri,SR,6-7,215,UNCG,Eastern Washington,2020-21,UNC Greensboro,Southern,30,726,11.4,0.484,0.469,4.8,13.4,8.9,3.6,1.4,0.2,9.0,17.6,216,103.2,99.6,0.8,1.1,1.9,-0.5,-0.1,-0.6,24.2,2.8,7.6,1.2,2.7,1.6,4.9,0.7,1.0,1.2,2.9,4.0,0.5,0.6,0.0,0.8,1.9,7.8
2.0,SF,Angelo Allegri,SR,6-7,215,UNCG,Eastern Washington,2021-22,Eastern Washington,Big Sky,34,1108,14.2,0.546,0.534,4.9,17.8,11.6,8.6,1.8,0.6,14.3,19.7,381,103.3,104.2,1.3,1.2,2.6,-0.1,-1.3,-1.4,32.6,4.4,10.3,2.1,4.2,2.3,6.1,1.1,1.6,1.4,5.3,6.6,1.5,1.1,0.2,1.9,2.1,12.1
2.0,C,Andre Allen,SR,6-9,215,Southern,Vanguard University of Southern California,2020-21,Southern,SWAC,15,155,10.8,0.5539999999999999,0.563,6.1,24.2,15.3,5.3,1.4,4.1,27.8,18.0,43,85.6,93.0,-0.1,0.3,0.3,-6.0,-0.3,-6.2,10.3,1.2,2.1,1.2,2.1,0.0,0.0,0.7,1.3,0.5,2.2,2.7,0.3,0.3,0.4,1.1,1.4,3.1
2.0,PG,Elijah Allen,SO,6-2,180,Wagner,West Chester,2020-21,Wagner,NEC,17,415,6.9,0.44,0.405,3.9,5.5,4.6,3.4,1.2,0.3,10.2,17.9,107,96.3,108.9,0.2,0.2,0.5,-2.5,-2.4,-4.9,24.4,2.2,7.1,0.8,2.4,1.4,4.8,1.1,1.4,0.8,1.1,1.9,0.5,0.5,0.1,0.9,1.9,6.8
2.0,SG,Teddy Allen,RSSR,6-6,212,Nebraska,New Mexico State,2020-21,Nebraska,Big Ten,22,598,20.7,0.5479999999999999,0.524,4.8,13.6,9.2,15.9,2.6,0.2,14.0,31.4,325,100.9,102.5,1.0,0.7,1.7,4.8,1.4,6.2,27.2,6.0,13.3,4.0,8.0,2.0,5.3,2.5,3.7,1.2,3.5,4.7,1.7,1.3,0.0,2.5,2.2,16.5
2.0,SG,Teddy Allen,RSSR,6-6,212,Nebraska,New Mexico State,2021-22,New Mexico State,WAC,34,1137,23.2,0.5770000000000001,0.514,3.7,18.9,11.7,16.9,2.1,0.5,14.1,30.0,618,114.0,94.0,3.7,2.4,6.1,4.1,1.0,5.1,33.4,6.3,14.4,4.1,7.9,2.2,6.6,4.8,5.5,1.0,5.7,6.7,2.5,1.2,0.1,2.8,2.3,19.6
4.0,SF,Timmy Allen,SR,6-6,210,Utah,Texas,2021-22,Texas,Big 12,34,986,21.9,0.55,0.5,10.9,16.2,13.5,15.8,2.6,1.7,14.6,23.7,426,112.8,93.2,2.6,2.1,4.7,4.5,3.3,7.8,29.0,4.4,8.9,4.3,8.5,0.1,0.4,3.1,4.3,2.6,3.8,6.4,2.1,1.2,0.4,1.9,2.5,12.1
4.0,SF,Timmy Allen,SR,6-6,210,Utah,Texas,2020-21,Utah,Pac-12,25,878,20.8,0.5379999999999999,0.48200000000000004,4.3,17.9,11.4,23.6,2.2,0.8,16.3,28.9,443,104.1,101.6,1.8,1.2,3.0,3.8,1.5,5.3,35.1,6.2,13.3,5.8,11.7,0.4,1.6,4.4,5.7,1.2,5.3,6.4,3.9,1.3,0.2,3.1,1.8,17.2
2.0,PG,Ezekiel Alley,SR,6-0,180,Northwest Nazarene,Portland State,2021-22,Portland State,Big Sky,31,797,16.8,0.513,0.489,3.0,12.7,7.6,19.6,2.8,1.3,14.2,24.1,344,101.8,100.5,1.1,1.2,2.2,-0.8,-0.1,-0.9,25.7,4.4,10.0,3.3,6.6,1.0,3.4,1.5,2.1,0.7,2.8,3.5,2.5,1.3,0.3,1.8,2.5,11.2
2.0,C,Yuat Alok,RS SR,-11,211,Southern Utah,Coppin State,2021-22,New Mexico State,WAC,30,302,17.1,0.528,0.516,8.5,10.9,9.8,9.1,0.4,4.8,10.2,24.7,126,108.2,98.8,0.6,0.5,1.1,-1.4,0.0,-1.3,10.1,2.0,4.2,1.8,3.5,0.2,0.6,0.4,0.5,0.7,1.0,1.7,0.4,0.1,0.4,0.5,1.5,4.7
2.0,C,Yuat Alok,RS SR,-11,211,Coppin State,New Mexico State,2021-22,New Mexico State,WAC,30,302,17.1,0.528,0.516,8.5,10.9,9.8,9.1,0.4,4.8,10.2,24.7,126,108.2,98.8,0.6,0.5,1.1,-1.4,0.0,-1.3,10.1,2.0,4.2,1.8,3.5,0.2,0.6,0.4,0.5,0.7,1.0,1.7,0.4,0.1,0.4,0.5,1.5,4.7
2.0,SG,Sedrick Altman,JR,6-3,185,Pepperdine,Rider,2020-21,Pepperdine,WCC,26,730,11.9,0.537,0.528,3.0,10.7,7.0,13.3,1.5,1.8,15.9,15.9,210,102.2,103.5,0.7,0.8,1.5,0.0,1.1,1.2,28.1,3.4,6.8,3.1,5.5,0.3,1.3,0.9,1.6,0.7,2.7,3.4,2.1,0.8,0.5,1.4,2.3,8.1
2.0,SG,Sedrick Altman,JR,6-3,185,Pepperdine,Rider,2021-22,Rider,MAAC,31,415,4.6,0.321,0.28300000000000003,3.9,14.8,9.3,6.8,2.5,1.2,17.6,12.4,62,71.6,100.4,-0.5,0.6,0.2,-6.0,0.6,-5.4,13.4,0.6,2.5,0.5,1.9,0.1,0.5,0.4,0.5,0.5,1.8,2.3,0.5,0.6,0.1,0.6,1.3,1.7
3.0,PF,Richard Amaefule,RS FR,6-9,224,ETSU,Dayton,2020-21,East Tennessee State,Southern,19,157,10.9,0.489,0.455,11.3,22.9,17.1,4.6,2.3,2.6,25.9,12.6,34,94.3,94.5,0.1,0.3,0.4,-5.2,1.4,-3.9,8.3,0.5,1.2,0.5,1.2,0.0,0.0,0.4,0.7,0.8,1.6,2.4,0.2,0.3,0.2,0.5,1.2,1.5
2.7,PF,Alphonso Anderson,RS SR,6-6,220,Utah State,Pacific,2020-21,Utah State,MWC,29,473,14.3,0.5,0.469,6.7,12.3,9.5,7.8,1.3,0.3,10.9,22.8,180,105.2,95.4,0.8,0.9,1.7,0.7,0.7,1.4,16.3,2.4,6.1,1.7,3.7,0.8,2.3,1.1,1.5,1.0,1.8,2.8,0.7,0.4,0.0,0.8,1.2,6.8
2.7,PF,Alphonso Anderson,RS SR,6-6,220,Utah State,Pacific,2021-22,Pacific,WCC,30,857,17.1,0.499,0.461,6.5,22.7,14.1,14.4,2.3,1.7,14.4,25.5,361,97.5,103.0,0.8,1.1,1.8,0.2,-0.2,0.1,28.6,4.4,10.6,3.3,7.5,1.1,3.1,2.3,3.1,1.6,5.1,6.8,1.8,1.1,0.4,2.0,2.3,12.1
2.0,SG,Amound Anderson,SO,6-3,187,Cal State Northridge,Southern Utah,2020-21,Cal State Northridge,Big West,17,346,12.1,0.598,0.562,2.8,10.8,6.6,11.6,1.5,0.7,19.0,13.7,92,109.5,113.0,0.5,0.1,0.5,-0.4,-1.3,-1.7,20.4,1.8,3.8,1.0,1.9,0.8,1.9,1.1,1.5,0.5,1.8,2.4,1.3,0.5,0.1,1.1,1.1,5.4
2.0,PG,Trevor Anderson,RS SR,6-3,205,Wisconsin,Valparaiso,2020-21,Wisconsin,Big Ten,29,411,12.7,0.645,0.637,2.3,9.6,5.9,16.4,0.9,0.0,15.6,11.0,97,125.2,104.4,0.8,0.4,1.3,1.8,2.4,4.2,14.2,1.1,2.1,0.7,1.3,0.4,0.8,0.4,0.6,0.3,1.1,1.4,1.2,0.2,0.0,0.4,0.8,3.1
2.0,SF,Trey Anderson,JR,6-7,206,South Carolina,San José State,2021-22,San Jose State,MWC,30,798,12.3,0.585,0.574,4.9,13.5,9.1,7.7,0.6,0.8,13.9,17.6,242,108.5,112.7,1.2,0.2,1.4,-0.7,-2.0,-2.7,26.6,3.2,6.8,1.7,3.6,1.4,3.2,1.0,1.5,1.1,3.0,4.1,1.0,0.3,0.2,1.2,3.5,8.7
2.0,SF,Bernie Andre,SR,6-6,210,Florida International,UT Martin,2021-22,Tennessee-Martin,OVC,25,614,16.0,0.522,0.465,6.3,21.8,13.8,6.2,0.9,1.8,12.3,21.8,237,106.2,104.7,1.0,0.7,1.6,-0.4,-2.0,-2.4,24.6,3.4,8.5,2.2,4.6,1.2,3.9,2.2,2.5,1.5,4.8,6.3,0.8,0.4,0.4,1.4,2.2,10.1
