Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
29,Ty Gordon,SR,2021-22,G,Nicholls State,Southland,29,996,34.3,7.8,17.3,4.2,7.3,3.6,10.0,1.7,2.6,0.7,2.6,3.3,3.1,1.4,0.0,2.6,1.7,20.8
30,Jalen Wilson,JR,2022-23,F,Kansas,Big 12,18,632,35.1,7.0,17.1,4.9,10.6,2.1,6.4,4.7,6.0,1.8,7.1,8.9,2.6,0.8,0.6,2.2,1.8,20.8
31,Isiaih Mosley,JR,2021-22,F,Missouri State,MVC,34,1075,31.6,7.4,14.6,5.3,9.8,2.1,4.8,3.5,3.9,1.0,5.2,6.2,2.3,1.2,0.2,2.7,2.0,20.4
32,Scotty Pippen,JR,2021-22,G,Vanderbilt,SEC,36,1190,33.1,6.2,14.9,4.4,9.5,1.8,5.5,6.2,8.3,0.8,2.7,3.6,4.5,1.9,0.2,3.4,2.4,20.4
33,Jordan Walker,JR,2021-22,G,UAB,CUSA,34,1081,31.8,6.5,16.2,3.1,7.6,3.4,8.6,3.9,4.4,0.1,2.7,2.8,4.9,1.5,0.0,3.6,1.9,20.3
34,Azuolas Tubelis,JR,2022-23,F,Arizona,Pac-12,19,568,29.9,7.9,13.8,7.4,12.8,0.5,1.1,3.9,5.0,3.0,6.4,9.4,2.1,1.1,0.9,2.1,2.7,20.2
35,Aaron Estrada,SR,2022-23,G,Hofstra,CAA,18,681,37.8,7.6,15.1,5.7,9.6,1.9,5.4,2.9,3.7,0.5,4.8,5.3,4.1,1.7,0.1,3.1,1.6,20.1
36,Tanner Holden,JR,2021-22,G,Wright State,Horizon,36,1272,35.3,6.8,13.6,6.4,12.5,0.4,1.1,6.1,7.8,2.2,4.9,7.1,2.6,1.4,0.2,2.5,2.5,20.1
37,Brandon Miller,FR,2022-23,F,Alabama,SEC,18,598,33.2,6.3,13.6,3.0,6.3,3.3,7.2,4.1,4.8,2.1,6.3,8.3,1.8,0.7,0.8,2.1,2.2,20.1
38,Antonio Reeves,JR,2021-22,G,Illinois State,MVC,33,1151,34.9,7.2,15.3,4.9,9.4,2.3,5.9,3.4,4.2,0.6,3.0,3.5,1.8,1.1,0.5,2.3,1.8,20.1
39,Derek St. Hilaire,SR,2021-22,G,New Orleans,Southland,31,1034,33.4,6.8,16.3,4.9,10.3,1.9,6.0,4.6,5.5,0.3,3.6,3.9,2.6,1.8,0.2,3.0,2.3,20.1
40,Emoni Bates,SO,2022-23,F,Eastern Michigan,MAC,17,569,33.5,6.5,15.4,3.9,7.9,2.6,7.5,4.4,5.8,0.7,5.2,5.9,1.1,0.8,0.4,2.4,2.8,20.0
41,Isaiah Burke,SR,2022-23,G,Morgan State,MEAC,18,605,33.6,6.8,14.2,3.4,6.6,3.4,7.6,2.9,4.0,0.9,1.3,2.2,2.9,1.3,0.3,2.6,1.9,20.0
42,Jamal Cain,SR,2021-22,F,Oakland,Horizon,30,1050,35.0,7.3,14.6,6.1,10.8,1.1,3.8,4.2,5.0,3.0,7.2,10.2,0.7,1.8,0.6,2.2,3.4,19.9
43,Malachi Smith,SO,2021-22,G,Chattanooga,Southern,35,1239,35.4,7.1,14.3,5.4,10.2,1.7,4.1,4.1,4.9,1.7,5.0,6.7,3.0,1.7,0.1,2.3,1.2,19.9
44,Cameron Tyson,JR,2022-23,G,Seattle,WAC,17,559,32.9,6.3,15.2,2.6,5.1,3.6,10.2,3.7,4.8,0.9,3.5,4.4,0.8,0.8,0.1,2.1,2.4,19.9
45,David Azore,SR,2021-22,G,UT Arlington,Sun Belt,26,899,34.6,6.3,15.4,5.0,11.2,1.3,4.2,6.0,7.1,0.3,4.2,4.5,1.8,0.9,0.1,3.0,2.0,19.8
46,Souley Boum,JR,2021-22,G,UTEP,CUSA,30,1101,36.7,6.0,14.6,3.8,8.8,2.1,5.8,5.7,6.8,0.6,3.9,4.5,2.9,1.8,0.2,2.0,2.0,19.8
