Stars,Position,Name,Class,Ht,Wt,Previous School,New School,Season,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,MPG,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2.0,SG,Chibuzo Agbo,RS FR,6-7,220,Texas Tech,Boise State,2022-23,Boise State,MWC,34,1003,14.4,0.5479999999999999,0.503,4.0,15.1,9.7,5.4,1.5,0.6,12.9,21.7,363,107.3,98.0,1.6,1.8,3.4,1.6,2.0,3.5,29.5,3.6,9.2,1.7,4.4,1.9,4.8,2.3,2.8,1.0,3.9,4.8,0.8,0.7,0.1,1.6,2.5,11.5
4.0,SF,Max Agbonkpolo,RS SO,6-9,195,USC,Wyoming,2021-22,Southern California,Pac-12,33,705,13.9,0.54,0.517,4.4,13.0,8.9,6.2,1.5,2.6,15.5,19.9,227,102.7,99.0,0.8,1.1,1.9,0.3,1.8,2.1,21.4,2.9,6.4,2.1,3.6,0.8,2.8,1.1,1.5,0.8,2.7,3.5,0.7,0.5,0.5,1.3,1.8,7.7
2.0,SG,Christian Agnew,SR,6-2,182,UTEP,Southeastern Louisiana,2022-23,Southeastern Louisiana,Southland,26,345,9.6,0.452,0.39,1.7,11.0,6.2,7.9,2.6,0.7,14.1,28.6,141,89.3,107.0,-0.1,0.3,0.3,-4.8,-2.3,-7.1,13.3,1.7,5.6,0.8,2.5,0.9,3.0,1.6,2.0,0.2,1.2,1.4,0.6,0.6,0.1,1.1,1.6,5.9
2.0,SG,Christian Agnew,SR,6-2,182,UTEP,Southeastern Louisiana,2021-22,UTEP,CUSA,28,432,10.1,0.51,0.444,3.8,12.1,7.9,11.7,1.9,1.0,19.2,19.1,133,95.8,99.8,0.2,0.7,0.9,-3.5,-0.1,-3.6,15.4,1.5,3.8,1.1,2.5,0.4,1.3,1.2,1.5,0.5,1.6,2.1,0.9,0.5,0.1,1.1,2.2,4.6
2.0,SF,Ajang Aguek,JR,6-7,195,Northern Arizona,Lander,2021-22,Northern Arizona,Big Sky,25,194,11.1,0.5429999999999999,0.47600000000000003,6.3,15.9,10.9,7.2,0.9,3.4,20.8,17.8,58,99.7,107.9,0.2,0.1,0.3,-4.8,-0.9,-5.8,7.8,0.8,1.7,0.7,1.2,0.1,0.5,0.7,1.0,0.4,1.0,1.5,0.3,0.1,0.2,0.6,1.3,2.3
2.0,PG,Nico Aguirre,RSSR,6-0,179,Southwest Baptist,Southern Miss,2022-23,Southern Mississippi,Sun Belt,27,235,11.2,0.428,0.41,3.9,5.7,4.8,19.9,3.2,0.5,8.9,12.0,56,111.6,99.4,0.3,0.4,0.7,-1.3,1.9,0.7,8.7,0.6,1.9,0.3,0.3,0.3,1.5,0.1,0.1,0.3,0.4,0.7,1.0,0.5,0.0,0.2,0.7,1.6
2.0,SG,Akrum Ahemed,RS SO,6-3,190,Canisius,UNCG,2021-22,Canisius,MAAC,32,652,9.0,0.47700000000000004,0.456,1.9,10.9,6.0,10.5,1.9,0.5,14.0,17.5,176,93.7,105.0,0.2,0.7,0.9,-4.0,-0.6,-4.6,20.4,2.1,5.7,1.2,2.5,0.9,3.1,0.7,1.1,0.4,1.8,2.2,1.1,0.7,0.1,1.0,1.7,5.9
4.0,SF,Justin Ahrens,SR,6-6,195,Ohio State,Loyola Marymount,2022-23,Loyola Marymount,WCC,29,673,8.9,0.53,0.506,0.5,9.3,4.9,5.4,1.2,1.0,11.8,15.2,170,106.4,109.1,0.7,0.5,1.2,-0.5,0.4,-0.1,23.2,2.1,5.7,0.4,0.7,1.7,5.1,0.8,1.0,0.1,1.8,1.9,0.7,0.5,0.2,0.8,1.8,6.6
4.0,SF,Justin Ahrens,SR,6-6,195,Ohio State,Loyola Marymount,2021-22,Ohio State,Big Ten,32,644,8.8,0.537,0.515,1.0,12.2,7.1,7.2,0.9,0.2,13.2,14.0,144,106.6,108.3,0.7,0.5,1.1,0.9,0.4,1.3,20.1,1.4,4.2,0.0,0.2,1.4,4.0,0.6,0.8,0.2,2.2,2.3,0.8,0.3,0.0,0.7,1.3,4.8
2.0,C,Fardaws Aimaq,RS JR,-11,245,Utah Valley,Texas Tech,2021-22,Utah Valley,WAC,32,1101,25.0,0.5539999999999999,0.512,10.7,31.9,22.2,12.2,1.2,3.9,14.8,29.5,568,108.4,87.5,2.7,3.0,5.7,3.2,0.9,4.1,34.4,6.9,14.2,6.3,12.7,0.6,1.4,4.4,6.1,3.0,10.6,13.6,1.7,0.7,1.3,3.0,2.7,18.9
