Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2322,Sarju Patel,SR,2021-22,G,Cornell,Ivy,26,582,22.4,3.4,7.3,2.1,3.5,1.3,3.9,1.2,2.0,1.0,2.5,3.5,1.0,0.5,0.0,0.7,0.9,9.4
2323,Quinten Post,JR,2021-22,F,Boston College,ACC,31,664,21.4,3.7,7.5,3.4,6.4,0.4,1.0,1.6,2.2,2.1,3.3,5.4,0.7,0.6,1.0,1.6,2.6,9.4
2324,Courtney Ramey,SR,2021-22,G,Texas,Big 12,34,1024,30.1,3.2,8.1,1.8,4.0,1.4,4.1,1.5,2.0,0.5,3.1,3.5,1.6,1.0,0.2,1.2,2.1,9.4
2325,Dzmitry Ryuny,JR,2020-21,F,San Francisco,WCC,25,677,27.1,3.2,7.8,1.0,1.8,2.2,6.0,0.8,1.1,1.0,4.6,5.6,0.8,0.8,0.8,1.0,2.5,9.4
2326,Taurus Samuels,SR,2021-22,G,Dartmouth,Ivy,23,656,28.5,3.1,8.6,1.8,4.4,1.3,4.2,1.8,2.3,0.1,2.0,2.1,1.7,0.7,0.1,0.8,1.8,9.4
2327,JT Thor,FR,2020-21,F,Auburn,SEC,27,622,23.0,3.1,7.1,2.3,4.3,0.8,2.7,2.3,3.1,1.6,3.4,5.0,0.9,0.8,1.4,1.6,2.0,9.4
2328,Brenden Tucker,SO,2020-21,G,College of Charleston,CAA,19,482,25.4,2.8,7.5,2.2,5.6,0.7,1.9,3.0,4.3,0.6,1.4,1.9,1.3,0.8,0.1,1.6,1.8,9.4
2329,Davion Warren,SR,2021-22,G,Texas Tech,Big 12,37,882,23.8,3.4,7.6,2.7,5.1,0.8,2.5,1.8,2.6,0.6,2.4,3.1,1.6,1.4,0.2,1.9,2.4,9.4
2330,Jannson Williams,SR,2020-21,F,Marshall,CUSA,22,531,24.1,3.4,8.1,1.6,2.5,1.8,5.5,0.8,1.2,0.7,3.6,4.3,0.4,0.7,2.0,0.7,2.5,9.4
2331,Jan Zidek,SO,2020-21,F,Pepperdine,WCC,22,469,21.3,3.4,7.6,1.7,2.9,1.7,4.7,1.0,1.3,0.8,2.8,3.5,0.5,0.2,0.0,0.8,1.8,9.4
2332,Nana Akenten,JR,2020-21,G,Southeast Missouri State,OVC,27,728,27.0,3.1,8.0,1.1,2.4,2.0,5.6,1.1,1.4,1.0,4.7,5.8,1.0,1.3,0.4,1.9,2.4,9.3
2333,Cedrick Alley,SR,2021-22,F,UTSA,CUSA,15,413,27.5,3.3,9.7,2.3,6.1,1.1,3.7,1.6,2.3,2.2,4.6,6.8,1.7,1.2,0.3,1.4,1.7,9.3
2334,Josh Anderson,SR,2020-21,G,Western Kentucky,CUSA,27,762,28.2,3.0,6.7,2.3,4.6,0.7,2.1,2.5,3.0,0.7,3.2,3.9,1.1,1.8,0.5,1.8,2.2,9.3
2335,Craig Beaudion,SR,2020-21,G,Cleveland State,Horizon,27,838,31.0,3.2,6.9,2.4,4.9,0.8,2.0,2.1,2.7,0.3,1.7,2.0,3.3,1.1,0.1,2.0,1.5,9.3
2336,Marcus Bingham,SR,2021-22,F,Michigan State,Big Ten,35,655,18.7,3.6,6.7,3.1,5.6,0.5,1.2,1.6,2.1,1.7,4.6,6.3,0.3,0.9,2.2,1.2,2.0,9.3
2337,Greg Brown,FR,2020-21,F,Texas,Big 12,26,535,20.6,3.1,7.4,2.0,3.9,1.2,3.5,2.0,2.8,1.2,5.0,6.2,0.4,0.6,1.0,2.3,3.0,9.3
2338,D.J. Burns,SO,2020-21,F,Southern,SWAC,6,124,20.7,3.8,8.5,3.8,8.3,0.0,0.2,1.7,2.2,1.5,3.5,5.0,0.8,0.5,0.5,2.2,2.5,9.3
2339,Kyle Cardaci,SO,2020-21,G,Coppin State,MEAC,22,576,26.2,3.0,7.1,0.6,1.0,2.5,6.1,0.7,0.9,0.4,2.5,3.0,1.0,0.7,0.0,1.0,2.2,9.3
2340,Jesus Carralero,JR,2021-22,F,Campbell,Big South,29,746,25.7,3.7,7.9,3.3,6.3,0.4,1.5,1.7,2.6,1.3,4.3,5.7,3.9,1.2,0.9,2.7,2.8,9.3
2341,Guglielmo Caruso,JR,2020-21,F,Santa Clara,WCC,18,409,22.7,3.7,6.9,3.3,5.9,0.4,1.1,1.6,2.4,1.2,3.6,4.8,0.9,0.2,0.9,1.8,3.0,9.3
2342,Max Christie,FR,2021-22,G,Michigan State,Big Ten,35,1078,30.8,3.2,8.4,2.1,4.9,1.1,3.5,1.7,2.1,0.9,2.6,3.5,1.5,0.5,0.5,1.5,1.1,9.3
2343,Samari Curtis,SO,2021-22,G,Bowling Green State,MAC,30,676,22.5,3.1,7.2,2.0,3.9,1.1,3.3,1.9,2.8,0.3,2.7,3.0,3.1,0.9,0.1,2.2,1.8,9.3
2344,Trey Doomes,JR,2020-21,G,Chattanooga,Southern,9,156,17.3,3.6,6.4,3.2,5.2,0.3,1.2,1.9,2.8,0.8,2.7,3.4,1.7,1.3,0.2,1.8,1.9,9.3
2345,Justin Edler-Davis,SR,2020-21,G,Cal State Bakersfield,Big West,26,688,26.5,3.2,7.7,1.6,3.6,1.5,4.1,1.5,1.8,1.7,2.3,3.9,0.8,0.5,0.2,1.1,2.5,9.3
2346,Jaylen Fornes,SR,2020-21,G,Nicholls State,Southland,21,446,21.2,3.2,7.4,2.0,4.2,1.2,3.1,1.6,2.4,0.8,2.3,3.1,0.8,0.8,0.0,1.0,1.6,9.3
2347,Jake Forrester,JR,2020-21,F,Temple,AAC,16,342,21.4,3.4,6.1,3.4,6.1,0.0,0.0,2.4,3.6,1.8,4.6,6.4,0.1,0.1,0.4,1.9,3.0,9.3
2348,Drew Friberg,SR,2021-22,F,Princeton,Ivy,30,897,29.9,3.1,7.6,0.6,1.3,2.5,6.3,0.6,0.8,0.5,3.0,3.6,1.3,0.9,0.1,0.5,1.7,9.3
2349,Jaylan Gainey,SR,2021-22,F,Brown,Ivy,29,707,24.4,4.2,5.9,4.2,5.9,0.0,0.0,1.0,1.9,2.2,4.7,6.9,0.4,0.2,2.1,0.9,1.9,9.3
2350,Michael Graham,SO,2021-22,F,Elon,CAA,32,660,20.6,4.1,6.7,4.1,6.7,0.0,0.0,1.1,1.8,2.6,4.3,6.8,0.8,0.4,1.3,1.3,3.0,9.3
2351,Brad Greene,SR,2020-21,C,UC Irvine,Big West,27,610,22.6,4.0,7.7,4.0,7.7,0.0,0.1,1.3,1.7,2.5,5.0,7.6,0.9,0.6,1.9,1.3,2.8,9.3
2352,Jacob Groves,SO,2020-21,G,Eastern Washington,Big Sky,24,524,21.8,3.8,6.8,3.1,5.0,0.7,1.8,1.2,1.5,1.0,3.2,4.2,0.9,0.5,0.1,1.2,2.5,9.3
2353,Jalen Harris,SR,2021-22,G,Cal State Fullerton,Big West,28,526,18.8,2.9,6.9,2.0,4.6,1.0,2.3,2.4,3.0,0.3,0.7,1.0,0.9,0.8,0.1,1.3,1.9,9.3
2354,Kayne Henry,SR,2021-22,G,Jacksonville State,A-Sun,32,836,26.1,3.3,7.1,2.3,4.0,1.0,3.1,1.7,2.3,1.9,3.6,5.5,0.8,0.7,0.5,1.3,1.9,9.3
2355,Caleb Hollander,JR,2020-21,F,Belmont,OVC,26,530,20.4,3.4,8.0,1.9,3.5,1.5,4.5,1.0,1.5,1.2,3.1,4.3,1.3,0.6,0.2,1.1,1.5,9.3
2356,Jonathan Jackson,SR,2020-21,F,Tarleton State,WAC,17,395,23.2,3.2,7.4,2.9,6.2,0.3,1.1,2.6,3.6,0.3,1.5,1.8,1.9,1.1,0.6,2.1,2.3,9.3
2357,Tyson Jolly,SR,2020-21,G,Southern Methodist,AAC,8,195,24.4,3.1,7.3,2.0,4.4,1.1,2.9,1.9,3.1,0.9,3.9,4.8,0.8,0.3,0.5,1.8,2.9,9.3
2358,Seneca Knight,JR,2020-21,G,San Jose State,MWC,4,124,31.0,2.8,11.3,2.3,8.5,0.5,2.8,3.3,5.0,1.5,5.8,7.3,2.0,1.3,0.0,2.5,2.8,9.3
2359,Evan Kuhlman,SR,2020-21,F,Evansville,MVC,25,723,28.9,3.5,7.6,1.7,3.2,1.8,4.5,0.5,0.7,0.4,3.2,3.6,1.9,0.4,0.7,1.1,2.5,9.3
2360,Nate Laszewski,SR,2021-22,F,Notre Dame,ACC,34,980,28.8,3.2,6.2,1.5,2.6,1.7,3.7,1.2,1.4,0.7,5.8,6.5,0.8,0.5,0.5,1.1,2.1,9.3
2361,Kendall Lewis,JR,2021-22,F,Illinois State,MVC,33,910,27.6,3.2,6.2,2.4,4.2,0.7,1.9,2.2,2.8,1.8,4.0,5.7,1.0,1.2,1.0,1.9,2.8,9.3
2362,Eric Lovett,SR,2021-22,G,Florida International,CUSA,30,681,22.7,3.1,9.0,1.0,2.8,2.1,6.2,0.9,1.4,1.0,2.9,3.9,0.5,0.9,0.2,1.7,1.6,9.3
2363,Vukasin Masic,SO,2021-22,G,Maine,AEC,28,786,28.1,3.4,8.7,1.8,4.1,1.6,4.6,0.8,1.0,0.6,3.5,4.1,3.1,0.6,0.0,1.7,1.0,9.3
2364,Gabe McGlothan,JR,2021-22,F,Grand Canyon,WAC,31,812,26.2,3.1,7.2,2.0,3.6,1.2,3.5,1.8,2.5,1.8,4.8,6.6,0.7,0.6,0.4,1.5,2.8,9.3
2365,Gethro Muscadin,SO,2021-22,F,New Mexico,MWC,12,248,20.7,3.3,6.8,3.2,6.4,0.2,0.4,2.5,3.3,1.8,3.6,5.3,0.9,0.8,1.6,2.0,2.9,9.3
2366,Josh Nicholas,SR,2020-21,G,Louisiana-Monroe,Sun Belt,26,556,21.4,3.5,7.2,2.3,4.5,1.2,2.8,1.1,1.3,0.6,1.8,2.3,1.2,0.7,0.3,0.9,1.4,9.3
2367,Joe Quintana,JR,2020-21,G,Loyola Marymount,WCC,19,620,32.6,2.6,6.3,0.6,1.5,2.1,4.8,2.0,2.5,0.2,2.2,2.3,2.2,1.2,0.3,1.9,3.0,9.3
2368,Kareem Reid,JR,2021-22,F,Gardner-Webb,Big South,31,645,20.8,4.1,7.2,4.1,7.2,0.0,0.0,1.2,1.9,1.9,3.2,5.1,1.0,0.7,1.6,1.6,2.6,9.3
2369,Lamel Robinson,FR,2020-21,G,Omaha,Summit,24,504,21.0,3.2,7.8,2.5,5.7,0.6,2.1,2.3,3.2,0.5,1.8,2.3,1.2,1.0,0.2,2.0,2.0,9.3
2370,Morgan Safford,FR,2020-21,G,Wofford,Southern,23,633,27.5,3.3,8.0,1.8,3.6,1.5,4.5,1.3,2.1,0.7,3.8,4.4,1.2,1.0,0.2,1.4,2.6,9.3
2371,D'Shawn Schwartz,SR,2020-21,G,Colorado,Pac-12,30,839,28.0,3.3,7.9,1.7,4.1,1.5,3.8,1.3,1.7,1.0,3.1,4.1,1.3,0.5,0.1,1.5,2.2,9.3
2372,Tyreek Scott-Grayson,SR,2020-21,G,UAB,CUSA,29,732,25.2,3.2,7.4,2.1,4.2,1.1,3.2,1.8,2.2,0.6,2.4,2.9,1.7,1.2,0.4,1.3,1.8,9.3
2373,Jordan Sears,FR,2020-21,G,Gardner-Webb,Big South,26,565,21.7,3.2,7.1,1.8,3.5,1.4,3.6,1.5,1.8,0.3,2.0,2.3,2.1,0.8,0.2,1.6,2.1,9.3
2374,Malachi Smith,FR,2021-22,G,Dayton,A-10,33,1021,30.9,3.2,8.0,2.6,6.5,0.6,1.5,2.3,2.9,0.7,3.4,4.1,5.3,1.8,0.1,2.0,2.3,9.3
2375,Calvin Solomon,JR,2021-22,F,Stephen F. Austin,WAC,32,794,24.8,3.7,7.1,3.5,6.7,0.2,0.4,1.8,2.9,2.0,3.8,5.8,1.9,1.7,1.0,2.8,3.3,9.3
2376,Sasha Stefanovic,JR,2020-21,G,Purdue,Big Ten,25,735,29.4,2.7,6.4,0.7,1.4,2.0,5.0,1.9,2.3,0.1,2.6,2.6,2.6,0.7,0.2,1.1,1.8,9.3
2377,Erik Stevenson,JR,2020-21,G,Washington,Pac-12,26,690,26.5,3.3,9.4,1.9,4.6,1.4,4.8,1.2,1.5,0.5,3.1,3.6,2.1,1.1,0.3,1.8,2.6,9.3
2378,Jason Strong,SR,2020-21,F,Northeastern,CAA,18,476,26.4,3.5,7.8,1.7,3.1,1.8,4.8,0.5,0.7,0.4,3.9,4.3,0.9,0.4,0.3,1.1,1.9,9.3
2379,Greg Summers,SR,2021-22,G,Navy,Patriot,28,796,28.4,3.4,7.0,3.4,6.8,0.0,0.2,2.5,4.1,1.8,3.1,5.0,2.3,1.1,0.6,2.0,1.8,9.3
2380,LaTrell Tate,SO,2020-21,G,Alabama State,SWAC,16,363,22.7,3.1,8.2,1.5,3.8,1.6,4.4,1.6,2.4,0.3,1.6,1.9,0.9,0.4,0.0,1.1,0.9,9.3
2381,Fred Thatch,JR,2021-22,G,Saint Louis,A-10,34,867,25.5,3.5,7.5,3.0,5.9,0.5,1.5,1.8,2.4,1.6,3.9,5.5,1.6,1.1,0.4,1.4,2.4,9.3
2382,Earl Timberlake,FR,2020-21,G,Miami (FL),ACC,7,192,27.4,3.1,7.0,2.9,6.0,0.3,1.0,2.7,3.9,1.6,3.4,5.0,2.4,1.7,0.6,3.3,3.0,9.3
2383,Dallas Walton,SR,2021-22,F,Wake Forest,ACC,35,899,25.7,3.4,6.4,2.8,4.8,0.6,1.6,1.8,2.5,1.0,4.2,5.2,1.1,0.4,1.4,1.0,2.5,9.3
2384,Dalvin White,JR,2020-21,G,South Carolina Upstate,Big South,23,647,28.1,3.4,7.9,1.7,3.3,1.8,4.5,0.6,1.0,0.2,2.3,2.5,3.0,1.3,0.0,1.7,1.9,9.3
2385,Jeremiah Williams,FR,2020-21,G,Temple,AAC,16,522,32.6,3.3,7.6,2.6,5.5,0.7,2.1,1.9,3.0,0.8,2.8,3.6,4.1,1.2,0.3,1.9,2.1,9.3
2386,Shaun Williams,SO,2020-21,G,Cal State Bakersfield,Big West,22,448,20.4,3.3,8.4,1.9,4.5,1.5,3.8,1.2,1.7,0.5,1.8,2.3,3.1,0.8,0.0,1.7,1.5,9.3
2387,Trevor Anderson,SR,2021-22,G,Valparaiso,MVC,19,517,27.2,3.2,7.1,2.2,3.9,1.1,3.1,1.7,1.9,0.2,3.6,3.8,2.4,0.5,0.0,0.9,0.5,9.2
2388,Precious Ayah,SR,2021-22,F,Miami (OH),MAC,32,749,23.4,3.8,5.5,3.8,5.4,0.0,0.1,1.6,2.3,2.1,3.5,5.6,0.8,0.9,1.1,1.0,2.9,9.2
2389,Jalen Benjamin,SO,2020-21,G,UAB,CUSA,29,610,21.0,3.0,8.5,1.1,2.8,1.9,5.7,1.4,1.8,0.2,1.1,1.2,1.6,0.8,0.0,1.2,1.1,9.2
2390,Ryan Burkhardt,SR,2021-22,G,Southeastern Louisiana,Southland,34,901,26.5,2.9,6.6,0.5,1.0,2.4,5.6,1.0,1.2,0.6,2.5,3.0,1.0,0.3,0.1,0.7,1.1,9.2
2391,Enoch Cheeks,SO,2021-22,G,Robert Morris,Horizon,32,998,31.2,3.1,7.1,2.2,4.6,0.9,2.5,2.1,2.5,1.5,3.9,5.4,2.6,1.2,0.8,2.2,2.6,9.2
2392,Jalen Cone,SO,2020-21,G,Virginia Tech,ACC,15,299,19.9,3.0,8.4,0.5,1.3,2.5,7.1,0.7,0.9,0.1,0.9,1.1,0.9,0.4,0.1,0.8,1.0,9.2
2393,Jarius Cook,SO,2020-21,G,North Dakota State,Summit,26,723,27.8,3.1,8.0,1.7,3.7,1.4,4.3,1.7,2.0,0.2,2.7,2.9,0.9,0.4,0.2,1.2,2.2,9.2
2394,Tye Fagan,JR,2020-21,G,Georgia,SEC,26,576,22.2,4.0,6.9,3.7,5.5,0.4,1.4,0.8,1.4,1.5,2.8,4.3,1.1,0.5,0.3,1.5,1.2,9.2
2395,Kam Farris,SO,2021-22,G,Robert Morris,Horizon,24,621,25.9,3.2,7.5,1.3,2.7,1.9,4.8,1.0,1.3,0.0,1.4,1.5,1.3,0.3,0.2,1.3,1.5,9.2
2396,Hasahn French,SR,2020-21,F,Saint Louis,A-10,19,475,25.0,4.2,7.9,4.2,7.9,0.0,0.0,0.7,2.3,2.4,4.9,7.4,2.4,0.7,1.4,1.6,2.6,9.2
2397,Evan Gilyard,SR,2020-21,G,New Mexico State,WAC,19,540,28.4,2.8,7.6,1.3,3.1,1.5,4.5,2.1,2.7,0.4,1.5,1.9,2.8,1.1,0.0,1.4,2.1,9.2
2398,Trae Hannibal,SO,2021-22,G,Murray State,OVC,34,746,21.9,3.2,6.1,3.1,5.7,0.1,0.4,2.8,3.9,1.0,4.1,5.1,2.5,1.2,0.1,1.9,1.6,9.2
2399,Collin Holloway,SO,2021-22,F,Georgetown,Big East,28,716,25.6,3.1,6.8,2.3,4.7,0.8,2.1,2.3,2.9,0.9,1.9,2.9,1.2,0.7,0.3,2.1,2.4,9.2
2400,Latrell Jossell,SO,2021-22,G,Stephen F. Austin,WAC,32,811,25.3,2.8,7.5,0.6,1.6,2.2,5.9,1.4,1.6,0.1,1.5,1.6,1.4,1.0,0.0,1.3,2.4,9.2
2401,Gabe Kalscheur,JR,2020-21,G,Minnesota,Big Ten,21,645,30.7,2.8,8.9,1.5,3.7,1.3,5.2,2.3,2.7,1.1,1.8,2.9,1.8,0.8,0.1,1.4,2.1,9.2
2402,Taje' Kelly,FR,2021-22,F,Charleston Southern,Big South,31,645,20.8,3.6,6.0,3.6,6.0,0.0,0.0,2.0,2.8,1.4,2.5,4.0,0.6,0.5,0.5,1.4,2.5,9.2
2403,Keli Leaupepe,JR,2021-22,F,Loyola Marymount,WCC,25,656,26.2,3.5,7.4,2.2,3.9,1.3,3.5,0.9,1.2,1.8,3.0,4.8,0.8,0.7,0.5,1.5,3.4,9.2
2404,Travion McCray,SO,2020-21,G,Western Carolina,Southern,13,345,26.5,3.5,8.3,2.4,4.3,1.1,4.0,1.2,1.8,0.2,3.2,3.4,2.5,1.2,0.1,2.1,2.2,9.2
2405,Isaih Moore,SO,2020-21,F,St. John's (NY),Big East,25,430,17.2,3.7,6.4,3.4,5.4,0.3,1.0,1.6,2.0,1.8,3.1,4.8,0.8,0.5,0.7,0.9,2.5,9.2
2406,Larry Moreno,SR,2021-22,G,St. Francis (NY),NEC,28,673,24.0,3.1,7.7,1.3,2.6,1.8,5.1,1.1,1.5,0.8,1.8,2.5,1.4,0.6,0.3,1.3,1.9,9.2
2407,Andrew Nembhard,JR,2020-21,G,Gonzaga,WCC,32,956,29.9,3.4,7.1,2.4,4.0,1.0,3.1,1.3,1.8,0.2,2.2,2.4,4.4,1.1,0.1,1.2,1.8,9.2
2408,D'Rell Roberts,JR,2020-21,G,Prairie View,SWAC,21,472,22.5,3.0,8.3,2.0,4.2,1.0,4.1,2.2,3.2,0.8,1.5,2.3,2.0,1.1,0.3,1.5,3.4,9.2
2409,Cormac Ryan,SR,2021-22,G,Notre Dame,ACC,35,1051,30.0,3.1,6.8,1.5,2.8,1.6,4.0,1.4,1.8,0.7,4.1,4.8,1.9,0.9,0.2,1.1,1.9,9.2
2410,Ryan Schwieger,SR,2021-22,G,Loyola (IL),MVC,33,665,20.2,3.3,7.3,1.8,3.7,1.5,3.7,1.1,1.4,0.3,2.5,2.8,1.1,0.6,0.2,1.3,2.5,9.2
2411,Jericho Sims,SR,2020-21,F,Texas,Big 12,26,638,24.5,3.6,5.2,3.6,5.2,0.0,0.0,2.0,3.8,2.2,5.1,7.2,0.7,0.7,1.1,1.6,2.5,9.2
2412,Tahj Small,JR,2020-21,G,Tarleton State,WAC,17,368,21.6,3.5,6.6,2.5,4.6,0.9,2.1,1.3,1.6,1.5,4.4,5.8,1.6,1.2,0.2,1.4,2.6,9.2
2413,Jeremy Sochan,FR,2021-22,F,Baylor,Big 12,30,754,25.1,3.3,7.0,2.5,4.3,0.8,2.7,1.8,3.0,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2
2414,Cameron Steele,SO,2021-22,F,Abilene Christian,WAC,36,805,22.4,3.5,7.1,2.4,4.0,1.1,3.1,1.1,1.5,1.1,2.8,3.9,1.1,0.7,0.5,0.9,1.8,9.2
2415,Kevon Voyles,JR,2021-22,G,Maryland-Eastern Shore,MEAC,25,596,23.8,3.6,8.2,2.3,5.0,1.3,3.2,0.7,1.2,0.8,2.3,3.1,1.4,1.4,0.1,1.5,1.6,9.2
2416,Torrence Watson,SR,2021-22,G,Elon,CAA,20,504,25.2,2.6,7.4,1.2,2.9,1.4,4.5,2.6,3.1,0.8,2.2,3.0,1.5,0.6,0.1,1.6,2.1,9.2
2417,Emmanuel Akot,JR,2020-21,G,Boise State,MWC,23,586,25.5,3.3,8.4,2.0,4.6,1.3,3.8,1.3,2.1,0.4,3.1,3.6,2.7,0.8,0.5,1.9,1.7,9.1
2418,Theo Akwuba,JR,2021-22,C,Louisiana,Sun Belt,25,641,25.6,3.4,6.3,3.3,6.0,0.1,0.2,2.2,3.2,2.9,5.0,7.9,0.7,0.6,2.0,1.7,2.2,9.1
2419,Justin Amadi,FR,2020-21,F,James Madison,CAA,20,471,23.6,3.7,5.3,3.5,5.2,0.2,0.2,1.7,2.9,1.9,3.1,5.0,0.6,1.0,0.4,0.8,2.4,9.1
2420,Marco Anthony,SR,2021-22,G,Utah,Pac-12,28,823,29.4,3.3,8.0,2.9,6.8,0.4,1.2,2.1,3.1,2.6,4.4,7.0,2.1,0.6,0.5,1.5,1.0,9.1
2421,Xavier Bledson,SO,2021-22,G,Indiana State,MVC,26,657,25.3,2.9,6.8,2.2,4.8,0.7,2.0,2.5,2.8,0.8,2.4,3.2,3.7,1.0,0.0,2.9,2.3,9.1
2422,Laquan Butler,JR,2020-21,G,Texas-Rio Grande Valley,WAC,18,334,18.6,3.5,8.6,2.1,3.8,1.4,4.7,0.6,1.1,0.6,1.1,1.7,1.4,1.0,0.1,1.8,2.0,9.1
2423,Nick Caldwell,SO,2020-21,G,Southeastern Louisiana,Southland,26,556,21.4,3.4,7.2,2.8,5.2,0.6,2.0,1.6,2.2,2.2,3.2,5.4,0.7,1.0,0.6,1.4,2.4,9.1
2424,Kale Catchings,SR,2021-22,F,Harvard,Ivy,24,582,24.3,3.2,6.5,2.1,3.4,1.1,3.1,1.5,2.8,1.3,2.7,4.0,0.8,1.0,0.4,1.5,3.0,9.1
2425,Nathan Cayo,SR,2021-22,F,Richmond,A-10,37,985,26.6,3.9,7.1,3.9,7.1,0.0,0.0,1.2,2.7,1.5,2.8,4.4,1.8,0.5,0.4,1.2,2.6,9.1
2426,Ta'Lon Cooper,SO,2021-22,G,Morehead State,OVC,34,1154,33.9,3.1,7.6,1.9,4.1,1.2,3.5,1.6,2.5,0.7,3.9,4.5,5.9,0.9,0.7,2.2,1.8,9.1
2427,Andre Curbelo,FR,2020-21,G,Illinois,Big Ten,31,668,21.5,3.5,7.1,3.4,6.1,0.2,1.0,1.9,2.6,0.5,3.5,4.0,4.2,0.9,0.1,2.6,2.7,9.1
2428,DJ Davis,FR,2020-21,G,UC Irvine,Big West,25,505,20.2,3.0,7.7,2.0,4.2,1.0,3.5,2.0,2.5,0.3,0.9,1.2,2.0,0.8,0.0,1.5,1.5,9.1
2429,David Dejulius,JR,2020-21,G,Cincinnati,AAC,19,561,29.5,3.3,9.2,2.5,5.1,0.8,4.2,1.6,2.1,0.3,4.2,4.5,4.2,0.8,0.1,1.7,1.7,9.1
2430,Eric Dixon,JR,2021-22,F,Villanova,Big East,38,959,25.2,3.4,6.8,2.9,5.9,0.4,0.9,1.8,2.2,3.3,3.2,6.4,1.3,0.7,0.5,1.4,2.3,9.1
2431,Devonaire Doutrive,SR,2021-22,G,Boise State,MWC,7,198,28.3,3.6,9.4,2.6,5.1,1.0,4.3,1.0,2.3,1.9,2.7,4.6,1.7,0.7,0.3,1.6,1.4,9.1
2432,Terrence Edwards,FR,2021-22,G,James Madison,CAA,29,607,20.9,3.5,7.3,3.1,6.2,0.3,1.2,1.8,2.9,1.2,3.0,4.2,2.2,1.0,0.3,1.8,1.4,9.1
2433,Jalen Finch,JR,2021-22,G,Jacksonville State,A-Sun,31,905,29.2,3.3,7.2,2.5,5.1,0.8,2.1,1.6,2.0,0.1,3.0,3.1,4.3,1.1,0.0,1.9,2.2,9.1
2434,Adam Flagler,SO,2020-21,G,Baylor,Big 12,28,639,22.8,3.0,6.6,1.4,2.8,1.6,3.8,1.5,1.7,0.9,1.4,2.3,1.4,0.9,0.0,0.8,1.5,9.1
2435,Justin Forrest,SR,2021-22,G,Appalachian State,Sun Belt,32,829,25.9,2.7,8.8,1.3,3.8,1.3,5.0,2.4,3.4,0.2,2.7,2.8,2.3,0.8,0.1,2.1,2.0,9.1
2436,Kenny Foster,SO,2020-21,G,Wyoming,MWC,17,417,24.5,3.0,6.5,1.5,2.8,1.5,3.6,1.5,2.1,0.9,2.7,3.6,0.9,0.4,0.4,0.8,1.9,9.1
2437,Reginald Gee,SR,2020-21,G,Austin Peay,OVC,22,501,22.8,2.9,7.3,1.7,3.8,1.2,3.5,2.0,2.6,0.5,2.3,2.8,0.6,0.5,0.2,1.3,1.7,9.1
2438,Umoja Gibson,JR,2020-21,G,Oklahoma,Big 12,27,728,27.0,3.1,7.8,0.9,2.6,2.1,5.2,0.8,1.1,0.6,2.5,3.1,1.2,1.2,0.0,0.7,1.3,9.1
2439,Dajuan Gordon,SO,2020-21,G,Kansas State,Big 12,25,714,28.6,3.2,8.6,2.5,5.3,0.7,3.3,1.9,2.5,1.4,4.1,5.5,1.4,1.2,0.0,2.4,2.5,9.1
2440,Caleb Grill,SO,2020-21,G,Nevada-Las Vegas,MWC,27,896,33.2,3.2,8.0,1.1,2.1,2.0,6.0,0.7,1.1,0.3,3.0,3.2,2.3,1.4,0.1,1.4,2.0,9.1
2441,Joe Hampton,SR,2021-22,F,Long Beach State,Big West,17,315,18.5,3.2,7.2,3.0,6.6,0.2,0.6,2.5,3.7,1.2,2.1,3.2,1.2,0.4,0.4,2.3,3.3,9.1
2442,Jordan Henderson,JR,2020-21,G,Canisius,MAAC,13,371,28.5,3.1,8.2,1.5,4.2,1.6,3.9,1.3,1.8,0.8,3.2,4.0,1.8,0.4,0.2,1.6,2.2,9.1
2443,Jalen Hill,JR,2021-22,F,Oklahoma,Big 12,35,1069,30.5,3.3,5.6,3.0,4.5,0.2,1.1,2.4,3.2,1.6,4.3,5.9,1.5,0.9,0.4,1.7,2.2,9.1
2444,Demetric Horton,JR,2020-21,G,Purdue-Fort Wayne,Horizon,23,505,22.0,3.4,7.7,1.7,3.0,1.7,4.7,0.6,0.8,0.3,2.6,2.9,1.7,1.3,0.3,2.0,1.6,9.1
2446,Robert Jones,SO,2020-21,F,Denver,Summit,15,318,21.2,3.7,6.9,3.7,6.9,0.0,0.0,1.6,2.8,1.3,3.7,5.0,0.5,0.6,0.9,1.8,3.2,9.1
2447,Danya Kingsby,SR,2021-22,G,Grambling,SWAC,15,405,27.0,3.1,9.2,2.1,6.7,0.9,2.5,2.0,2.7,0.2,2.1,2.3,1.5,0.8,0.3,2.6,1.9,9.1
2448,Balsa Koprivica,SO,2020-21,C,Florida State,ACC,24,468,19.5,3.7,6.1,3.6,6.1,0.0,0.0,1.8,2.5,2.1,3.5,5.6,0.8,0.3,1.4,1.3,2.6,9.1
2449,Isaac Likekele,JR,2020-21,G,Oklahoma State,Big 12,24,810,33.8,3.4,7.0,3.0,6.3,0.3,0.8,2.0,3.6,1.9,4.7,6.6,3.6,1.1,0.2,2.3,2.2,9.1
