Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
29,Michael Flowers,SR,2020-21,G,South Alabama,Sun Belt,28,1041,37.2,6.7,15.3,3.5,7.1,3.1,8.1,4.5,5.5,0.4,4.3,4.6,3.6,1.6,0.1,3.0,2.1,21.0
30,Kofi Cockburn,JR,2021-22,C,Illinois,Big Ten,28,859,30.7,8.1,13.6,8.1,13.6,0.0,0.0,4.8,7.3,3.4,7.2,10.6,0.8,0.8,1.0,2.3,2.4,20.9
31,Jordan Dingle,SO,2021-22,G,Pennsylvania,Ivy,26,828,31.8,7.6,17.1,5.1,9.5,2.5,7.6,3.1,3.8,0.7,3.0,3.6,2.4,0.8,0.0,3.0,1.7,20.9
32,Ty Gordon,SR,2021-22,G,Nicholls State,Southland,29,996,34.3,7.8,17.3,4.2,7.3,3.6,10.0,1.7,2.6,0.7,2.6,3.3,3.1,1.4,0.0,2.6,1.7,20.8
33,Scotty Pippen,SO,2020-21,G,Vanderbilt,SEC,22,700,31.8,6.2,14.5,4.2,9.0,2.0,5.5,6.5,7.6,1.0,1.9,2.9,4.9,1.8,0.2,3.8,2.5,20.8
34,John-Michael Wright,SO,2020-21,G,High Point,Big South,22,736,33.5,6.9,16.4,4.7,10.0,2.2,6.4,4.8,6.2,1.3,3.9,5.2,3.2,1.6,0.3,2.2,2.2,20.7
35,Jamir Harris,SR,2020-21,G,American,Patriot,10,387,38.7,6.7,14.2,2.8,5.3,3.9,8.9,3.2,4.2,0.5,2.3,2.8,3.5,1.0,0.0,3.3,2.1,20.5
36,Darrion Trammell,SO,2020-21,G,Seattle,WAC,23,823,35.8,6.4,15.6,4.4,9.9,2.0,5.7,5.6,6.5,0.6,3.2,3.8,5.3,2.0,0.3,3.4,2.5,20.5
37,Isiaih Mosley,JR,2021-22,F,Missouri State,MVC,34,1075,31.6,7.4,14.6,5.3,9.8,2.1,4.8,3.5,3.9,1.0,5.2,6.2,2.3,1.2,0.2,2.7,2.0,20.4
38,Scotty Pippen,JR,2021-22,G,Vanderbilt,SEC,36,1190,33.1,6.2,14.9,4.4,9.5,1.8,5.5,6.2,8.3,0.8,2.7,3.6,4.5,1.9,0.2,3.4,2.4,20.4
39,Jordan Walker,JR,2021-22,G,UAB,CUSA,34,1081,31.8,6.5,16.2,3.1,7.6,3.4,8.6,3.9,4.4,0.1,2.7,2.8,4.9,1.5,0.0,3.6,1.9,20.3
40,Sharife Cooper,FR,2020-21,G,Auburn,SEC,12,397,33.1,6.0,15.3,4.9,10.6,1.1,4.8,7.1,8.6,0.7,3.6,4.3,8.1,1.0,0.3,4.2,2.7,20.2
41,Cade Cunningham,FR,2020-21,G,Oklahoma State,Big 12,27,956,35.4,6.5,14.8,4.2,9.1,2.3,5.7,4.9,5.8,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1
42,Ayo Dosunmu,JR,2020-21,G,Illinois,Big Ten,28,984,35.1,7.5,15.4,6.4,12.4,1.1,2.9,4.0,5.1,1.1,5.2,6.3,5.3,1.1,0.2,3.3,2.1,20.1
43,Phlandrous Fleming,SR,2020-21,G,Charleston Southern,Big South,18,616,34.2,6.6,16.6,3.9,8.4,2.6,8.2,4.4,5.4,0.9,6.5,7.4,2.3,1.8,0.9,2.7,2.7,20.1
44,Tanner Holden,JR,2021-22,G,Wright State,Horizon,36,1272,35.3,6.8,13.6,6.4,12.5,0.4,1.1,6.1,7.8,2.2,4.9,7.1,2.6,1.4,0.2,2.5,2.5,20.1
45,Antonio Reeves,JR,2021-22,G,Illinois State,MVC,33,1151,34.9,7.2,15.3,4.9,9.4,2.3,5.9,3.4,4.2,0.6,3.0,3.5,1.8,1.1,0.5,2.3,1.8,20.1
46,Derek St. Hilaire,SR,2021-22,G,New Orleans,Southland,31,1034,33.4,6.8,16.3,4.9,10.3,1.9,6.0,4.6,5.5,0.3,3.6,3.9,2.6,1.8,0.2,3.0,2.3,20.1
47,Jamal Cain,SR,2021-22,F,Oakland,Horizon,30,1050,35.0,7.3,14.6,6.1,10.8,1.1,3.8,4.2,5.0,3.0,7.2,10.2,0.7,1.8,0.6,2.2,3.4,19.9
48,Jhivvan Jackson,SR,2020-21,G,UTSA,CUSA,25,829,33.2,7.3,15.6,4.7,8.5,2.6,7.0,2.8,3.5,0.6,3.7,4.2,3.4,1.0,0.3,2.8,2.9,19.9
49,Malachi Smith,SO,2021-22,G,Chattanooga,Southern,35,1239,35.4,7.1,14.3,5.4,10.2,1.7,4.1,4.1,4.9,1.7,5.0,6.7,3.0,1.7,0.1,2.3,1.2,19.9
